Risk Score,Title
27,Check Point warns of SmartConsole zero-day exploited in attacks
27,New InfraTrust report reveals infrastructure flaws admins should patch first
24,Russian hackers exploit Zimbra zero-click flaw for email theft
23,Fake Notepad++ Plugin Delivers MATCHBOIL.V2 in UAC-0099 Attacks
22,CISA orders urgent action on actively exploited Langflow RCE flaw
20,"Clop ransomware targets Windchill, FlexPLM in data theft attacks"
20,South Korea discloses data breach impacting diplomats worldwide
20,How enterprise GenAI can amplify ransomware risk — and how to contain it
19,New Dolphin X malware uses AI to rank high-value targets
19,Adobe Chrome extension flaw let sites access private WhatsApp chats
